1;;Uruguay;;A
2;;Spanien;;B
3;;Frankreich;;C
4;;Kroatien;;D
5;;Brasilien;;E
6;;Schweden;;F
7;;Panama;;G
8;;Senegal;;H
9;;Russland;;A
10;;Portugal;;B
11;;Daenemark;;C
12;;Argentinien;;D
13;;Schweiz;;E
14;;Mexico;;F
15;;England;;G
16;;Japan;;H
17;;Saudi-Arabien;;A
18;;Iran;;B
19;;Peru;;C
20;;Nigeria;;D
21;;Serbien;;E
22;;Deutschland;;F
23;;Tunesien;;G
24;;Polen;;H
25;;Aegypten;;A
26;;Marokko;;B
27;;Australien;;C
28;;Island;;D
29;;Costa Rica;;E
30;;Suedkorea;;F
31;;Belgien;;G
32;;Kolumbien;;H
